location,code,year,emissions
Asia,,1981,1.625483
Asia,,1982,1.6475612
Asia,,1983,1.680072
Asia,,1984,1.74361
Asia,,1985,1.809716
Asia,,1986,1.8502374
Asia,,1987,1.8911842
Asia,,1988,2.003435
Asia,,1989,2.033325
Asia,,1990,2.0583844
Asia,,1991,2.2653565
Asia,,1992,2.1804879
Asia,,1993,2.2445257
Asia,,1994,2.3132675
Asia,,1995,2.3707252
Asia,,1996,2.4322503
Asia,,1997,2.4314637
Asia,,1998,2.3307304
Asia,,1999,2.4293537
Asia,,2000,2.497625
Asia,,2001,2.5074375
Asia,,2002,2.6111252
Asia,,2003,2.8381112
Asia,,2004,2.9711335
Asia,,2005,3.148226
Asia,,2006,3.3247905
Asia,,2007,3.4574094
Asia,,2008,3.5965998
Asia,,2009,3.6788867
Asia,,2010,3.9091635
Asia,,2011,4.150337
Asia,,2012,4.2622857
Asia,,2013,4.268991
Asia,,2014,4.2966805
Asia,,2015,4.2871428
Asia,,2016,4.2737656
Asia,,2017,4.348663
Asia,,2018,4.445855
Asia,,2019,4.506658
Asia,,2020,4.4004188
Asia,,2021,4.567902
Asia,,2022,4.611434
World,OWID_WRL,1900,1.199232
World,OWID_WRL,1901,1.2307372
World,OWID_WRL,1902,1.2517458
World,OWID_WRL,1903,1.3532422
World,OWID_WRL,1904,1.3571923
World,OWID_WRL,1905,1.432905
World,OWID_WRL,1906,1.4836785
World,OWID_WRL,1907,1.676299
World,OWID_WRL,1908,1.5976069
World,OWID_WRL,1909,1.6497104
World,OWID_WRL,1910,1.716262
World,OWID_WRL,1911,1.73124
World,OWID_WRL,1912,1.8065919
World,OWID_WRL,1913,1.9446292
World,OWID_WRL,1914,1.7521608
World,OWID_WRL,1915,1.7155751
World,OWID_WRL,1916,1.8405812
World,OWID_WRL,1917,1.9117817
World,OWID_WRL,1918,1.8731953
World,OWID_WRL,1919,1.6123312
World,OWID_WRL,1920,1.8576044
World,OWID_WRL,1921,1.6189123
World,OWID_WRL,1922,1.683432
World,OWID_WRL,1923,1.893368
World,OWID_WRL,1924,1.8824672
World,OWID_WRL,1925,1.8860849
World,OWID_WRL,1926,1.8362813
World,OWID_WRL,1927,1.9864538
World,OWID_WRL,1928,1.9602886
World,OWID_WRL,1929,2.084881
World,OWID_WRL,1930,1.9021566
World,OWID_WRL,1931,1.6854303
World,OWID_WRL,1932,1.5044751
World,OWID_WRL,1933,1.5680304
World,OWID_WRL,1934,1.6880137
World,OWID_WRL,1935,1.7537812
World,OWID_WRL,1936,1.9043846
World,OWID_WRL,1937,2.014623
World,OWID_WRL,1938,1.8747287
World,OWID_WRL,1939,1.9639443
World,OWID_WRL,1940,2.122051
World,OWID_WRL,1941,2.153978
World,OWID_WRL,1942,2.1315649
World,OWID_WRL,1943,2.15036
World,OWID_WRL,1944,2.1663656
World,OWID_WRL,1945,1.7885866
World,OWID_WRL,1946,1.9376519
World,OWID_WRL,1947,2.1292646
World,OWID_WRL,1948,2.2258415
World,OWID_WRL,1949,2.103328
World,OWID_WRL,1950,2.37238
World,OWID_WRL,1951,2.5092719
World,OWID_WRL,1952,2.4968188
World,OWID_WRL,1953,2.5189998
World,OWID_WRL,1954,2.522121
World,OWID_WRL,1955,2.7107303
World,OWID_WRL,1956,2.829694
World,OWID_WRL,1957,2.8642392
World,OWID_WRL,1958,2.8864362
World,OWID_WRL,1959,2.9810743
World,OWID_WRL,1960,3.1088755
World,OWID_WRL,1961,3.0682025
World,OWID_WRL,1962,3.1172154
World,OWID_WRL,1963,3.2123766
World,OWID_WRL,1964,3.3127992
World,OWID_WRL,1965,3.389065
World,OWID_WRL,1966,3.4821656
World,OWID_WRL,1967,3.5207915
World,OWID_WRL,1968,3.6382928
World,OWID_WRL,1969,3.800649
World,OWID_WRL,1970,4.031552
World,OWID_WRL,1971,4.111967
World,OWID_WRL,1972,4.2195787
World,OWID_WRL,1973,4.357756
World,OWID_WRL,1974,4.257117
World,OWID_WRL,1975,4.1897635
World,OWID_WRL,1976,4.341634
World,OWID_WRL,1977,4.387014
World,OWID_WRL,1978,4.444167
World,OWID_WRL,1979,4.4903517
World,OWID_WRL,1980,4.38398
World,OWID_WRL,1981,4.2029867
World,OWID_WRL,1982,4.094062
World,OWID_WRL,1983,4.0465407
World,OWID_WRL,1984,4.112731
World,OWID_WRL,1985,4.176523
World,OWID_WRL,1986,4.163081
World,OWID_WRL,1987,4.21461
World,OWID_WRL,1988,4.30166
World,OWID_WRL,1989,4.2841187
World,OWID_WRL,1990,4.2799
World,OWID_WRL,1991,4.296785
World,OWID_WRL,1992,4.1085906
World,OWID_WRL,1993,4.087606
World,OWID_WRL,1994,4.0692253
World,OWID_WRL,1995,4.096046
World,OWID_WRL,1996,4.163014
World,OWID_WRL,1997,4.13037
World,OWID_WRL,1998,4.0637503
World,OWID_WRL,1999,4.0926967
World,OWID_WRL,2000,4.147293
World,OWID_WRL,2001,4.1206822
World,OWID_WRL,2002,4.1582055
World,OWID_WRL,2003,4.324224
World,OWID_WRL,2004,4.4195943
World,OWID_WRL,2005,4.5122457
World,OWID_WRL,2006,4.6083193
World,OWID_WRL,2007,4.683315
World,OWID_WRL,2008,4.704022
World,OWID_WRL,2009,4.565362
World,OWID_WRL,2010,4.7678533
World,OWID_WRL,2011,4.8686357
World,OWID_WRL,2012,4.878096
World,OWID_WRL,2013,4.8592534
World,OWID_WRL,2014,4.8325562
World,OWID_WRL,2015,4.775163
World,OWID_WRL,2016,4.719525
World,OWID_WRL,2017,4.740302
World,OWID_WRL,2018,4.7850013
World,OWID_WRL,2019,4.770166
World,OWID_WRL,2020,4.4647303
World,OWID_WRL,2021,4.654845
World,OWID_WRL,2022,4.658219
North America,,1900,6.655935
North America,,1901,7.1373253
North America,,1902,7.4341335
North America,,1903,8.521028
North America,,1904,8.303657
North America,,1905,9.1028185
North America,,1906,9.385562
North America,,1907,10.74507
North America,,1908,9.295028
North America,,1909,10.054273
North America,,1910,10.807385
North America,,1911,10.649185
North America,,1912,11.233875
North America,,1913,11.9819
North America,,1914,10.771895
North America,,1915,10.988781
North America,,1916,12.121509
North America,,1917,13.224688
North America,,1918,13.676883
North America,,1919,11.529166
North America,,1920,13.518507
North America,,1921,11.192506
North America,,1922,11.003366
North America,,1923,14.049711
North America,,1924,12.378839
North America,,1925,12.505643
North America,,1926,13.265966
North America,,1927,12.755074
North America,,1928,12.337506
North America,,1929,13.01744
North America,,1930,11.468136
North America,,1931,9.617015
North America,,1932,8.115263
North America,,1933,8.586087
North America,,1934,9.100505
North America,,1935,9.3541355
North America,,1936,10.596622
North America,,1937,11.020559
North America,,1938,9.302086
North America,,1939,10.118292
North America,,1940,11.201975
North America,,1941,12.028792
North America,,1942,12.709658
North America,,1943,12.923981
North America,,1944,13.62521
North America,,1945,12.92116
North America,,1946,12.242386
North America,,1947,13.210185
North America,,1948,13.531712
North America,,1949,11.205211
North America,,1950,12.814198
North America,,1951,13.019993
North America,,1952,12.454445
North America,,1953,12.4987335
North America,,1954,11.757281
North America,,1955,12.566824
North America,,1956,12.965172
North America,,1957,12.617422
North America,,1958,12.029187
North America,,1959,12.137969
North America,,1960,12.184283
North America,,1961,11.927622
North America,,1962,12.157618
North America,,1963,12.408549
North America,,1964,12.813599
North America,,1965,13.111469
North America,,1966,13.52783
North America,,1967,13.889937
North America,,1968,14.21252
North America,,1969,14.679711
North America,,1970,15.584216
North America,,1971,15.4799795
North America,,1972,15.991182
North America,,1973,16.466454
North America,,1974,15.785237
North America,,1975,15.187673
North America,,1976,15.863091
North America,,1977,16.07856
North America,,1978,16.07402
North America,,1979,16.14548
North America,,1980,15.427117
North America,,1981,14.868429
North America,,1982,14.051386
North America,,1983,13.7050705
North America,,1984,14.194927
North America,,1985,14.020034
North America,,1986,13.801871
North America,,1987,14.142347
North America,,1988,14.574587
North America,,1989,14.650121
North America,,1990,14.370709
North America,,1991,14.018395
North America,,1992,14.092972
North America,,1993,14.116726
North America,,1994,14.1854725
North America,,1995,14.11542
North America,,1996,14.402925
North America,,1997,14.457618
North America,,1998,14.414986
North America,,1999,14.426215
North America,,2000,14.755113
North America,,2001,14.391762
North America,,2002,14.327525
North America,,2003,14.394876
North America,,2004,14.4324
North America,,2005,14.365811
North America,,2006,14.083263
North America,,2007,14.132756
North America,,2008,13.537301
North America,,2009,12.491138
North America,,2010,12.761778
North America,,2011,12.449388
North America,,2012,11.982627
North America,,2013,12.10214
North America,,2014,12.049802
North America,,2015,11.67997
North America,,2016,11.321468
North America,,2017,11.131459
North America,,2018,11.3473015
North America,,2019,11.06931
North America,,2020,9.889759
North America,,2021,10.459453
North America,,2022,10.5346775
South America,,1900,0.076626204
South America,,1901,0.15186103
South America,,1902,0.1715966
South America,,1903,0.17495903
South America,,1904,0.19357994
South America,,1905,0.20167166
South America,,1906,0.26453823
South America,,1907,0.26670268
South America,,1908,0.30670235
South America,,1909,0.27069256
South America,,1910,0.34133136
South America,,1911,0.3718151
South America,,1912,0.38033766
South America,,1913,0.39413154
South America,,1914,0.31464908
South America,,1915,0.27075934
South America,,1916,0.23966143
South America,,1917,0.18753076
South America,,1918,0.18617024
South America,,1919,0.21414374
South America,,1920,0.23831265
South America,,1921,0.23026231
South America,,1922,0.26849338
South America,,1923,0.3030132
South America,,1924,0.3657334
South America,,1925,0.3886957
South America,,1926,0.39535144
South America,,1927,0.4256853
South America,,1928,0.43586028
South America,,1929,0.4680854
South America,,1930,0.3884158
South America,,1931,0.33433047
South America,,1932,0.3720715
South America,,1933,0.41509578
South America,,1934,0.46166572
South America,,1935,0.49991837
South America,,1936,0.4732018
South America,,1937,0.5887003
South America,,1938,0.5333058
South America,,1939,0.53212196
South America,,1940,0.56207323
South America,,1941,0.5507734
South America,,1942,0.51135665
South America,,1943,0.5039801
South America,,1944,0.54628885
South America,,1945,0.5365891
South America,,1946,1.1505461
South America,,1947,0.587939
South America,,1948,0.6429908
South America,,1949,0.63971525
South America,,1950,0.99184644
South America,,1951,1.126005
South America,,1952,1.181007
South America,,1953,1.142707
South America,,1954,1.1944102
South America,,1955,1.3086175
South America,,1956,1.3787397
South America,,1957,1.4047863
South America,,1958,1.2662007
South America,,1959,1.357352
South America,,1960,1.3348037
South America,,1961,1.3157191
South America,,1962,1.3684472
South America,,1963,1.3551829
South America,,1964,1.3843299
South America,,1965,1.4068013
South America,,1966,1.4391798
South America,,1967,1.4890924
South America,,1968,1.5633702
South America,,1969,1.6518003
South America,,1970,1.7513161
South America,,1971,1.7554147
South America,,1972,1.7948825
South America,,1973,1.9000632
South America,,1974,1.9703422
South America,,1975,1.904102
South America,,1976,1.8969628
South America,,1977,1.9236169
South America,,1978,1.9990671
South America,,1979,2.0912092
South America,,1980,2.103069
South America,,1981,1.981591
South America,,1982,1.9432836
South America,,1983,1.8822058
South America,,1984,1.8638874
South America,,1985,1.8638341
South America,,1986,1.9278964
South America,,1987,1.9877161
South America,,1988,2.0290544
South America,,1989,1.9879516
South America,,1990,2.0173042
South America,,1991,2.0056453
South America,,1992,2.0096579
South America,,1993,2.0865347
South America,,1994,2.060601
South America,,1995,2.1290908
South America,,1996,2.1872687
South America,,1997,2.2939594
South America,,1998,2.4339483
South America,,1999,2.3580356
South America,,2000,2.3227668
South America,,2001,2.23338
South America,,2002,2.2826743
South America,,2003,2.2558794
South America,,2004,2.327948
South America,,2005,2.3666465
South America,,2006,2.4138668
South America,,2007,2.4787736
South America,,2008,2.5664637
South America,,2009,2.472054
South America,,2010,2.7291338
South America,,2011,2.7435672
South America,,2012,2.853074
South America,,2013,2.9844196
South America,,2014,3.0044835
South America,,2015,2.8904772
South America,,2016,2.7620711
South America,,2017,2.6947637
South America,,2018,2.5143125
South America,,2019,2.4930851
South America,,2020,2.2294097
South America,,2021,2.50236
South America,,2022,2.4865332
Oceania,,1900,2.129719
Oceania,,1901,2.398582
Oceania,,1902,2.4026918
Oceania,,1903,2.363649
Oceania,,1904,2.4231951
Oceania,,1905,2.485356
Oceania,,1906,2.8574042
Oceania,,1907,3.027907
Oceania,,1908,3.1917098
Oceania,,1909,2.8318686
Oceania,,1910,3.324214
Oceania,,1911,3.530919
Oceania,,1912,3.774761
Oceania,,1913,3.867985
Oceania,,1914,4.2468805
Oceania,,1915,3.8045247
Oceania,,1916,3.4347842
Oceania,,1917,3.5402331
Oceania,,1918,3.757969
Oceania,,1919,3.49445
Oceania,,1920,3.8772018
Oceania,,1921,3.510862
Oceania,,1922,3.6104672
Oceania,,1923,3.6792982
Oceania,,1924,3.9433222
Oceania,,1925,4.0621634
Oceania,,1926,3.9878254
Oceania,,1927,4.1629214
Oceania,,1928,3.8592007
Oceania,,1929,3.580529
Oceania,,1930,3.3903058
Oceania,,1931,2.920057
Oceania,,1932,2.8755095
Oceania,,1933,3.0296645
Oceania,,1934,3.1927643
Oceania,,1935,3.461274
Oceania,,1936,3.6665754
Oceania,,1937,3.8941302
Oceania,,1938,3.8277617
Oceania,,1939,4.2247157
Oceania,,1940,3.9086492
Oceania,,1941,4.277715
Oceania,,1942,4.467558
Oceania,,1943,4.332158
Oceania,,1944,4.244469
Oceania,,1945,4.005228
Oceania,,1946,4.220124
Oceania,,1947,4.3274937
Oceania,,1948,4.4369144
Oceania,,1949,4.443873
Oceania,,1950,5.181565
Oceania,,1951,5.4429026
Oceania,,1952,5.5204287
Oceania,,1953,5.381323
Oceania,,1954,5.668696
Oceania,,1955,5.87014
Oceania,,1956,6.029933
Oceania,,1957,5.926848
Oceania,,1958,5.9268723
Oceania,,1959,6.1287484
Oceania,,1960,6.3654613
Oceania,,1961,6.2192497
Oceania,,1962,6.2795796
Oceania,,1963,6.5249224
Oceania,,1964,6.928136
Oceania,,1965,7.4014115
Oceania,,1966,7.407485
Oceania,,1967,7.616136
Oceania,,1968,7.8463597
Oceania,,1969,8.135063
Oceania,,1970,8.588377
Oceania,,1971,8.578459
Oceania,,1972,8.553113
Oceania,,1973,9.347587
Oceania,,1974,9.052112
Oceania,,1975,9.200725
Oceania,,1976,8.9612665
Oceania,,1977,9.461853
Oceania,,1978,9.632324
Oceania,,1979,9.524007
Oceania,,1980,9.991514
Oceania,,1981,10.207458
Oceania,,1982,10.280801
Oceania,,1983,9.677703
Oceania,,1984,10.00447
Oceania,,1985,10.278079
Oceania,,1986,10.149924
Oceania,,1987,10.470966
Oceania,,1988,10.596902
Oceania,,1989,11.050618
Oceania,,1990,11.675661
Oceania,,1991,11.552641
Oceania,,1992,11.632508
Oceania,,1993,11.619066
Oceania,,1994,11.630621
Oceania,,1995,11.850443
Oceania,,1996,11.953363
Oceania,,1997,12.122406
Oceania,,1998,12.386753
Oceania,,1999,12.559897
Oceania,,2000,12.614959
Oceania,,2001,12.746045
Oceania,,2002,12.715098
Oceania,,2003,12.802911
Oceania,,2004,13.0159855
Oceania,,2005,12.965511
Oceania,,2006,12.925481
Oceania,,2007,12.91627
Oceania,,2008,12.778498
Oceania,,2009,12.534983
Oceania,,2010,12.276805
Oceania,,2011,12.037038
Oceania,,2012,11.928909
Oceania,,2013,11.536463
Oceania,,2014,11.247753
Oceania,,2015,11.272197
Oceania,,2016,11.280381
Oceania,,2017,11.201084
Oceania,,2018,11.082192
Oceania,,2019,10.930183
Oceania,,2020,10.24328
Oceania,,2021,9.883469
Oceania,,2022,9.85179
Africa,,1900,0.016815761
Africa,,1901,0.028121473
Africa,,1902,0.04176499
Africa,,1903,0.056402333
Africa,,1904,0.06341765
Africa,,1905,0.07276437
Africa,,1906,0.08275714
Africa,,1907,0.0909625
Africa,,1908,0.09390756
Africa,,1909,0.10735923
Africa,,1910,0.12100435
Africa,,1911,0.116731
Africa,,1912,0.123760745
Africa,,1913,0.13460414
Africa,,1914,0.13367727
Africa,,1915,0.13349853
Africa,,1916,0.15768538
Africa,,1917,0.17112114
Africa,,1918,0.16625711
Africa,,1919,0.17010342
Africa,,1920,0.18615878
Africa,,1921,0.18404068
Africa,,1922,0.15595937
Africa,,1923,0.18666829
Africa,,1924,0.19445343
Africa,,1925,0.20180704
Africa,,1926,0.21327865
Africa,,1927,0.2069944
Africa,,1928,0.21005066
Africa,,1929,0.21359752
Africa,,1930,0.19853099
Africa,,1931,0.17142504
Africa,,1932,0.15295953
Africa,,1933,0.16163766
Africa,,1934,0.18227975
Africa,,1935,0.19862159
Africa,,1936,0.21307538
Africa,,1937,0.22562651
Africa,,1938,0.23430876
Africa,,1939,0.24609981
Africa,,1940,0.25714242
Africa,,1941,0.27570948
Africa,,1942,0.2956288
Africa,,1943,0.29735428
Africa,,1944,0.3243292
Africa,,1945,0.32344264
Africa,,1946,0.32124582
Africa,,1947,0.31506482
Africa,,1948,0.32733774
Africa,,1949,0.34674028
Africa,,1950,0.41742998
Africa,,1951,0.43552738
Africa,,1952,0.46495628
Africa,,1953,0.46184626
Africa,,1954,0.4740996
Africa,,1955,0.5104573
Africa,,1956,0.52109855
Africa,,1957,0.5340307
Africa,,1958,0.5485227
Africa,,1959,0.53325933
Africa,,1960,0.5515589
Africa,,1961,0.5571884
Africa,,1962,0.5584053
Africa,,1963,0.5776179
Africa,,1964,0.6187093
Africa,,1965,0.66565555
Africa,,1966,0.6717069
Africa,,1967,0.702103
Africa,,1968,0.7429684
Africa,,1969,0.7817592
Africa,,1970,0.829414
Africa,,1971,0.88617426
Africa,,1972,0.915562
Africa,,1973,0.95795256
Africa,,1974,0.95793664
Africa,,1975,0.9288439
Africa,,1976,0.9794823
Africa,,1977,0.98201233
Africa,,1978,1.0191712
Africa,,1979,1.0680178
Africa,,1980,1.1140877
Africa,,1981,1.1084132
Africa,,1982,1.121514
Africa,,1983,1.1334519
Africa,,1984,1.2038226
Africa,,1985,1.1997913
Africa,,1986,1.2082844
Africa,,1987,1.1745242
Africa,,1988,1.2005676
Africa,,1989,1.1250036
Africa,,1990,1.03304
Africa,,1991,1.0515889
Africa,,1992,0.99396455
Africa,,1993,1.0269243
Africa,,1994,1.1202403
Africa,,1995,1.1676878
Africa,,1996,1.1761504
Africa,,1997,1.1761436
Africa,,1998,1.1716696
Africa,,1999,1.127536
Africa,,2000,1.1373366
Africa,,2001,1.0970197
Africa,,2002,1.0464746
Africa,,2003,1.122038
Africa,,2004,1.156532
Africa,,2005,1.1474754
Africa,,2006,1.1492242
Africa,,2007,1.1514653
Africa,,2008,1.1750045
Africa,,2009,1.1426399
Africa,,2010,1.153414
Africa,,2011,1.1608971
Africa,,2012,1.1321875
Africa,,2013,1.1114453
Africa,,2014,1.1508118
Africa,,2015,1.1003323
Africa,,2016,1.1016515
Africa,,2017,1.0856832
Africa,,2018,1.0491422
Africa,,2019,1.0992943
Africa,,2020,0.9982174
Africa,,2021,1.0311713
Africa,,2022,0.99422127
